"","#","Country,Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","Serious,Critical","Tot Cases/1M pop","Deaths/1M pop","TotalTests","Tests/1M pop","Population","Continent","1 Caseevery X ppl","1 Deathevery X ppl","1 Testevery X ppl","New Cases/1M pop","New Deaths/1M pop","Active Cases/1M pop"
"47",47,"Greece","410,166","+798","12,301","+24","382,817","+1,487","15,048","392","39,532","1,186","9,812,468","945,726","10,375,594","Europe","25","843",1,77,2,"1,450"
"48",48,"Belarus","400,422","+570","2,919","+9","392,744","+378","4,759","","42,389","309","6,438,423","681,572","9,446,429","Europe","24","3,236",1,60,1,"504"
"49",49,"Kazakhstan","395,064","+989","4,076","+19","367,285","+1,081","23,703","221","20,809","215","11,575,012","609,687","18,985,170","Asia","48","4,658",2,52,1,"1,249"
"50",50,"Slovakia","390,451","+15","12,414","+10","376,450","+10","1,587","59","71,484","2,273","2,863,317","524,215","5,462,104","Europe","14","440",2,3,2,"291"
"51",51,"Bolivia","387,162","+1,428","15,024","+43","306,819","+1,600","65,319","200","32,753","1,271","1,550,511","131,169","11,820,739","South America","31","787",8,121,4,"5,526"
"52",52,"Panama","382,475","","6,402","","368,365","","7,708","105","87,368","1,462","2,722,147","621,816","4,377,739","North America","11","684",2,NA,NA,"1,761"
"53",53,"Paraguay","373,165","","9,874","","306,695","","56,596","593","51,729","1,369","1,349,919","187,129","7,213,850","South America","19","731",5,NA,NA,"7,845"
"54",54,"Croatia","357,608","+43","8,091","+5","348,274","+277","1,243","49","87,613","1,982","2,047,218","501,565","4,081,660","Europe","11","504",2,11,1,"305"
"55",55,"Tunisia","355,732","","12,980","","311,340","","31,412","424","29,810","1,088","1,514,922","126,947","11,933,453","Africa","34","919",8,NA,NA,"2,632"
"56",56,"Georgia","349,405","+307","4,934","+24","334,519","+1,014","9,952","","87,745","1,239","5,158,150","1,295,356","3,982,034","Asia","11","807",1,77,6,"2,499"
"57",57,"Azerbaijan","334,747","+32","4,945","+4","327,114","+221","2,688","","32,741","484","3,572,418","349,412","10,224,074","Asia","31","2,068",3,3,0.4,"263"
"58",58,"Costa Rica","327,979","","4,153","","247,905","","75,921","520","63,842","808","1,267,269","246,679","5,137,329","North America","16","1,237",4,NA,NA,"14,778"
"59",59,"Kuwait","317,197","","1,795","","301,137","","14,265","153","73,270","415","2,671,013","616,984","4,329,142","Asia","14","2,412",2,NA,NA,"3,295"
"60",60,"Uruguay","316,535","","4,640","","275,138","","36,757","505","90,830","1,331","2,399,396","688,506","3,484,930","South America","11","751",1,NA,NA,"10,547"
"61",61,"Palestine","310,026","","3,517","","301,881","","4,628","18","59,493","675","1,842,852","353,640","5,211,099","Asia","17","1,482",3,NA,NA,"888"
"62",62,"Dominican Republic","301,984","+906","3,655","+1","246,216","+1,026","52,113","462","27,581","334","1,590,765","145,289","10,948,936","North America","36","2,996",7,83,0.09,"4,760"
"63",63,"Denmark","286,948","+459","2,520","+2","272,371","+803","12,057","19","49,379","434","59,154,699","10,179,468","5,811,178","Europe","20","2,306",0,79,0.3,"2,075"
"64",64,"Lithuania","276,543","+84","4,309","+2","259,909","+116","12,325","121","102,926","1,604","3,489,942","1,298,916","2,686,811","Europe","10","624",1,31,0.7,"4,587"
"65",65,"Ethiopia","273,024","+110","4,213","+4","246,883","+636","21,928","319","2,322","36","2,755,429","23,431","117,596,148","Africa","431","27,913",43,0.9,0.03,"186"
"66",66,"Egypt","267,972","","15,352","","196,604","","56,016","90","2,574","147","2,869,589","27,560","104,122,107","Africa","389","6,782",36,NA,NA,"538"
"67",67,"Ireland","264,826","+377","4,941","","247,362","+399","12,523","26","53,082","990","4,729,538","947,995","4,988,993","Europe","19","1,010",1,76,NA,"2,510"
"68",68,"Guatemala","262,255","+297","8,305","+11","239,804","+628","14,146","5","14,392","456","1,456,203","79,912","18,222,556","North America","69","2,194",13,16,0.6,"776"
