"","Country,Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","Serious,Critical","Tot Cases/1M pop","Deaths/1M pop","TotalTests","Tests/1M pop","Population","Continent","1 Caseevery X ppl","1 Deathevery X ppl","1 Testevery X ppl","New Cases/1M pop","New Deaths/1M pop","Active Cases/1M pop"
"71","Bahrain","252,600","","1,143","","231,113","","20,344","332","143,830","651","4,742,989","2,700,653","1,756,238","Asia","7","1,537",0,NA,NA,"11,584"
"72","Venezuela","243,621","","2,734","","223,788","","17,099","306","8,590","96","3,359,014","118,439","28,360,649","South America","116","10,373",8,NA,NA,"603"
"73","Honduras","242,377","+551","6,493","+14","86,381","+231","149,503","528","24,115","646","736,313","73,257","10,051,078","North America","41","1,548",14,55,1,"14,874"
"74","Oman","226,648","+1,553","2,434","+10","206,026","+721","18,188","303","43,361","466","1,550,000","296,536","5,227,021","Asia","23","2,148",3,297,2,"3,480"
"75","Armenia","223,285","+73","4,463","","214,609","+105","4,213","","75,220","1,503","1,108,066","373,286","2,968,413","Asia","13","665",3,25,NA,"1,419"
"76","Qatar","218,798","","569","","215,635","","2,594","101","77,925","203","2,053,409","731,322","2,807,805","Asia","13","4,935",1,NA,NA,"924"
"77","Sri Lanka","207,979","","1,789","","176,045","","30,145","","9,675","83","3,557,469","165,487","21,497,007","Asia","103","12,016",6,NA,NA,"1,402"
"78","Bosnia and Herzegovina","204,410","","9,411","","176,589","","18,410","","62,669","2,885","992,476","304,279","3,261,735","Europe","16","347",3,NA,NA,"5,644"
"79","Libya","187,928","+243","3,149","+3","173,636","+242","11,143","","27,008","453","1,052,817","151,305","6,958,231","Africa","37","2,210",7,35,0.4,"1,601"
"80","Thailand","182,548","+2,662","1,297","+28","131,999","+2,483","49,252","1,169","2,609","19","8,124,896","116,131","69,963,441","Asia","383","53,943",9,38,0.4,"704"
"81","Kenya","172,639","","3,308","","118,226","","51,105","121","3,146","60","1,836,410","33,468","54,870,471","Africa","318","16,587",30,NA,NA,"931"
"82","Nigeria","166,816","","2,117","","163,190","","1,509","11","791","10","2,133,061","10,115","210,876,830","Africa","1,264","99,611",99,NA,NA,"7"
"83","North Macedonia","155,418","","5,458","","149,496","","464","25","74,602","2,620","814,518","390,976","2,083,294","Europe","13","382",3,NA,NA,"223"
"84","Cuba","150,103","","1,025","","143,105","","5,973","173","13,260","91","4,484,454","396,148","11,320,159","North America","75","11,044",3,NA,NA,"528"
"85","S. Korea","145,091","+454","1,975","+1","135,412","+551","7,704","149","2,828","38","10,008,584","195,060","51,310,381","Asia","354","25,980",5,9,0.02,"150"
"86","Myanmar","144,456","","3,227","","132,525","","8,704","","2,638","59","2,633,023","48,092","54,749,852","Asia","379","16,966",21,NA,NA,"159"
"87","Latvia","135,144","+256","2,423","+10","128,751","+132","3,970","53","72,398","1,298","2,736,977","1,466,230","1,866,676","Europe","14","770",1,137,5,"2,127"
"88","Albania","132,384","","2,452","","129,702","","230","18","46,049","853","741,271","257,846","2,874,862","Europe","22","1,172",4,NA,NA,"80"
"89","Algeria","131,283","","3,527","","91,413","","36,343","24","2,944","79","230,861","5,178","44,586,804","Africa","340","12,642",193,NA,NA,"815"
"90","Estonia","130,242","+86","1,264","","124,991","+275","3,987","11","98,120","952","1,454,703","1,095,930","1,327,368","Europe","10","1,050",1,65,NA,"3,004"
"91","Norway","127,066","","784","","88,952","","37,330","11","23,269","144","5,847,413","1,070,808","5,460,749","Europe","43","6,965",1,NA,NA,"6,836"
"92","Kyrgyzstan","107,714","+379","1,859","+7","101,033","+311","4,822","102","16,261","281","1,170,746","176,736","6,624,260","Asia","61","3,563",6,57,1,"728"
"93","Uzbekistan","102,163","+199","699","+3","98,129","+268","3,335","23","3,012","21","1,377,915","40,622","33,920,406","Asia","332","48,527",25,6,0.09,"98"
"94","Zambia","100,765","","1,315","","93,694","","5,756","243","5,343","70","1,619,450","85,863","18,860,836","Africa","187","14,343",12,NA,NA,"305"
"95","Montenegro","99,834","","1,594","","97,621","","619","60","158,936","2,538","422,387","672,441","628,140","Europe","6","394",1,NA,NA,"985"
"96","Ghana","94,228","","787","","92,362","","1,079","6","2,975","25","1,188,952","37,536","31,675,087","Africa","336","40,248",27,NA,NA,"34"
"97","Finland","93,394","+113","959","","46,000","","46,435","11","16,832","173","5,149,164","927,985","5,548,755","Europe","59","5,786",1,20,NA,"8,369"
"98","Afghanistan","84,050","+1,724","3,305","+54","59,569","+571","21,176","1,124","2,115","83","506,424","12,743","39,741,819","Asia","473","12,025",78,43,1,"533"
